Attraction,Event Name,Location (District/Place),Province No.,Venue,Month / Season,Duration,Type,Description / Source
Dhunge Dhara Mandir,Dhunge Dhara Temple Mela (proposed),Ilam,1,Temple Premises,Winter,1 day,Religious,Local pilgrims gather for rituals and fairs.
Thalthale Pokhari (Targaun),Thalthale Pokhari Eco Fair (proposed),Dhankuta,1,Lake Area,Spring,1 day,Eco / Cultural,Environmental awareness and traditional music near the lake.
Fajeegoun,Fajeegoun Rural Festival (proposed),Sankhuwasabha,1,Village Ground,Autumn,1 day,Cultural / Community,"Traditional music, ethnic cuisine, and handicraft displays."
Sankhuwasabha,Sankhuwasabha Tourism Festival (real),Sankhuwasabha,1,Khandbari,Winter (Dec–Jan),3 days,Tourism / Trade,"Province-wide event promoting trekking, culture, and homestays."
Pashupatinagar,Pashupatinagar Cross-Border Trade Fair (real),Ilam,1,Nepal–India Border Market,Winter,3 days,Trade / Tourism,Nepal–India cultural and trade fair featuring tea and handicrafts.
Mankhim Mandir,Mankhim Religious Fair (proposed),Ilam,1,Mankhim Hill,Spring,1 day,Religious,Kirat followers gather for worship and rituals at the temple.
Pothukatla,Pothukatla Local Fair (proposed),Jhapa,1,Village Center,Autumn,1 day,Cultural,"Local dance, food, and handicraft stalls for visitors."
Sherpa Villages (Solukhumbu),Sherpa Lhosar Festival (real),Solukhumbu,1,Sherpa Villages,February,3 days,Cultural / Religious,Tibetan New Year celebrated with traditional dances and feasts.
Rungsung,Rungsung Agro Tourism Fair (proposed),Taplejung,1,Rungsung Village,Autumn,2 days,Agro / Cultural,Promotes local agricultural produce and homestays.
Taplejung,Taplejung Mahotsav (real),Taplejung,1,District Headquarters,Dec–Jan,5 days,Tourism / Cultural,"Major festival featuring trade stalls, music, and food exhibitions."
Taplejung Micro Temple,Taplejung Temple Worship Day (proposed),Taplejung,1,Local Temple Area,Spring,1 day,Religious / Cultural,Community prayer and cultural event near micro temple site.
Tin Talaay Waterfall,Tin Talaay Nature Trek (proposed),Taplejung,1,Waterfall Trail,Spring,1 day,Nature / Adventure,Nature trail hike and awareness about waterfall conservation.
Gorkhe,Gorkhe Cultural Fair (proposed),Taplejung,1,Gorkhe Village Ground,Autumn,1 day,Cultural / Community,"Local dances, tea tasting, and crafts display."
Thamserku Viewpoint,Thamserku Mountain Festival (proposed),Solukhumbu,1,Viewpoint Area,Autumn,2 days,Adventure / Cultural,Mountain blessing ritual with cultural performances by Sherpa locals.
Jamuna,Jamuna Tea & Tourism Event (proposed),Ilam,1,Tea Estate Area,Spring,2 days,Agro / Tourism,"Tea garden tours, local products, and photography contest."
Jogmai,Jogmai Cultural Day (proposed),Ilam,1,Village Center,Autumn,1 day,Cultural / Ethnic,"Limbu and Rai music, cultural attire show, and homestay promotion."
Mabu,Mabu Agro Tourism Festival (proposed),Ilam,1,Mabu Ridge,Spring,1 day,Agro / Eco,Eco-tourism awareness and organic food stalls.
Maimajhuwa,Maimajhuwa Community Fair (proposed),Ilam,1,Village Ground,Autumn,1 day,Cultural / Tourism,Community event promoting traditional handicrafts and local culture.
Chhintapu,Chhintapu Rhododendron Trek Event (real),Ilam,1,Chhintapu Trail,Spring (Mar–Apr),2 days,Nature / Trekking,"Rhododendron viewing, hiking, and photography tours."
Bantedara,Bantedara Heritage Day (proposed),Taplejung,1,Village Center,Autumn,1 day,Cultural,Traditional Limbu dances and storytelling.
Sidin,Sidin Homestay Promotion Festival (proposed),Taplejung,1,Sidin Village,Autumn,1 day,Cultural / Tourism,Showcases local homestays and traditional foods.
Lakhanpur,Lakhanpur Industrial Trade Fair (real),Jhapa,1,Lakhanpur Industrial Area,Winter,4 days,Trade / Business,"Showcasing local industries, handicrafts, and investment opportunities."
Charchabari,Charchabari Tea & Nature Day (proposed),Ilam,1,Tea Garden Hill,Spring,1 day,Eco / Agro,"Tea garden visit, rhododendron viewing, and local crafts sale."
Chaudhari Gaun,Chaudhari Gaun Cultural Day (proposed),Panchthar,1,Village Ground,Autumn,1 day,Cultural,Limbu and Rai traditional performances with food fair.
Tumden Chowk,Tumden Chowk Trade & Food Fair (proposed),Taplejung,1,Market Area,Winter,3 days,Trade / Cultural,"Local market fair with handicrafts, food stalls, and music."
Sanba,Sanba Limbu Heritage Festival (proposed),Taplejung,1,Sanba Village,Autumn,2 days,Ethnic / Cultural,"Limbu cultural celebration with dances, rituals, and local cuisine."
Tiljung,Tiljung Homestay & Tourism Day (proposed),Taplejung,1,Tiljung Center,Spring,1 day,Cultural / Tourism,Homestay promotion with guided tours and traditional performances.
Papung,Papung Agro-Food Festival (proposed),Taplejung,1,Village Square,Spring,2 days,Agro / Trade,Local agricultural produce and traditional dishes exhibition.
Phungphunge Waterfall,Phungphunge Eco Festival (proposed),Dhankuta,1,Waterfall Site,Spring,1 day,Eco / Adventure,"Nature awareness program, photo contests, and conservation talk."
Dalaicha,Dalaicha Cultural Day (proposed),Sankhuwasabha,1,Community Ground,Autumn,1 day,Cultural,"Folk music, crafts, and local games organized by village youth."
Dunge,Dunge Hill Trek Day (proposed),Sankhuwasabha,1,Dunge Hilltop,Autumn,1 day,Nature / Trekking,Trekking challenge and eco-tourism awareness event.
Tartong,Tartong Heritage Festival (proposed),Taplejung,1,Village Center,Spring,1 day,Cultural,"Limbu and Rai performances, crafts, and local food stalls."
Papung Gumba,Papung Gumba Lhosar Celebration (proposed),Taplejung,1,Monastery Grounds,February,2 days,Religious / Cultural,"Buddhist new year festival with prayer, song, and dance."
Tokpegola,Tokpegola Trekker’s Meetup (proposed),Taplejung,1,Trail Point,Autumn,1 day,Adventure / Tourism,Trekking awareness and homestay coordination event.
Keemathnka,Keemathnka Border Cultural Fair (proposed),Sankhuwasabha,1,Border Village,Autumn,2 days,Cross-border / Cultural,Nepal-Tibet border cultural exchange with crafts and music.
Chepuwa,Chepuwa Heritage Day (proposed),Sankhuwasabha,1,Chepuwa Center,Spring,1 day,Cultural,"Showcasing local Rai traditions, food, and crafts."
Guthigumba,Guthigumba Monastery Festival (proposed),Sankhuwasabha,1,Gumba Premises,Lhosar (Feb),2 days,Religious / Cultural,Monastic prayer ceremony and Sherpa-Tamang dances.
Yaphu,Yaphu Eco Tourism Event (proposed),Sankhuwasabha,1,Village Trail,Autumn,1 day,Eco / Trekking,Promoting eco-friendly trekking and local products.
Seduwa,Seduwa Gateway Festival (real/proposed),Sankhuwasabha,1,Makalu-Barun Entry Point,Autumn,3 days,Tourism / Cultural,"Welcoming trekkers with local music, food, and conservation sessions."
Siva Mandir Managaun,Managaun Shiva Mahotsav (proposed),Sankhuwasabha,1,Siva Mandir Premises,March (Shivaratri),2 days,Religious,Annual temple fair with cultural performances and rituals.
Hans Pokhari,Hans Pokhari Wetland Festival (proposed),Sankhuwasabha,1,Lake Area,Winter,1 day,Eco / Cultural,Wetland preservation awareness and local community picnic.
Kholakharka,Kholakharka Rhododendron Festival (proposed),Sankhuwasabha,1,Trail Area,Spring,2 days,Nature / Tourism,Rhododendron trekking and photography exhibition.
Hatiya,Hatiya Border Cultural Fair (proposed),Sankhuwasabha,1,Hatiya Village,Autumn,2 days,Cultural / Trade,Border trade and cultural fair with Tibetan-Nepali art exchange.
Dangok,Dangok Local Festival (proposed),Sankhuwasabha,1,Village Ground,Autumn,1 day,Cultural,Traditional Rai dances and regional food stalls.
Bhotkhola,Bhotkhola Trekking Fair (proposed),Sankhuwasabha,1,Trekking Route,Spring,2 days,Adventure / Eco,Promotion of mountain trekking and homestay tourism.
Guthigumba (Duplicate handled),Guthigumba Monastery Cultural Day (proposed),Sankhuwasabha,1,Monastery,Winter,1 day,Religious / Cultural,Local monks organize prayer and culture exhibitions.
Chyamtang,Chyamtang Mountain Culture Festival (proposed),Sankhuwasabha,1,Village Center,Autumn,2 days,Cultural / Tourism,"Music, food, and dance representing Sherpa culture."
Chepuwa (Duplicate handled),Chepuwa Homestay Fair (proposed),Sankhuwasabha,1,Community Hall,Spring,1 day,Tourism,Promotion of local homestays and eco-tourism routes.
Thudam,Thudam Border Festival (proposed),Sankhuwasabha,1,Village Ground,Autumn,2 days,Cross-border / Cultural,Nepal-Tibet border festival highlighting traditional lifestyles.
Brihaspati Tal,Brihaspati Lake Eco Trek (proposed),Sankhuwasabha,1,Lake Site,Spring,1 day,Eco / Trekking,Awareness trek and cleaning campaign around Brihaspati Tal.
Rajarshi Tal,Rajarshi Lake Festival (proposed),Sankhuwasabha,1,Lake Shore,Spring,1 day,Eco / Cultural,Nature photography and wetland conservation event.
Rukma,Rukma Cultural Fair (proposed),Sankhuwasabha,1,Rukma Village,Autumn,1 day,Cultural,"Folk songs, crafts, and food exhibition."
Sibrung,Sibrung Rai Heritage Festival (proposed),Bhojpur,1,Sibrung Village,Autumn,2 days,Ethnic / Cultural,Rai community dance and song festival with traditional attire.
Limkhim Fall,Limkhim Waterfall Day (proposed),Taplejung,1,Waterfall Site,Spring,1 day,Nature / Tourism,Eco awareness and waterfall conservation event.
Baide,Baide Cultural & Trade Fair (proposed),Sankhuwasabha,1,Baide Bazaar,Winter,2 days,Cultural / Trade,Showcases local crafts and regional products.
Num,Num Gateway Trek Festival (proposed),Sankhuwasabha,1,Num Village,Autumn,2 days,Adventure / Tourism,Welcoming trekkers on the Makalu-Barun route with local shows.
Sabha Pokhari,Sabha Pokhari Religious Festival (real),Sankhuwasabha,1,Sabha Pokhari,June–July,3 days,Religious / Cultural,Major local pilgrimage where devotees visit the sacred lake.
Nebare,Nebare Cultural Gathering (proposed),Sankhuwasabha,1,Village Center,Autumn,1 day,Cultural,Cultural song and dance program organized by youth.
Mangkhim,Mangkhim Kirat Festival (real),Ilam,1,Mangkhim Temple,Autumn,2 days,Religious / Cultural,"Kirat devotees perform rituals, dances, and offer prayers."
Syaksila,Syaksila Eco Trail Day (proposed),Sankhuwasabha,1,Trail Area,Spring,1 day,Nature / Eco,Promoting eco-tourism and rhododendron trekking.
Sempung,Sempung Homestay Promotion Event (proposed),Sankhuwasabha,1,Village Ground,Autumn,1 day,Cultural / Tourism,Promotion of eco-homestay network and cultural displays.
Chainpur,Chainpur Mahotsav (real),Sankhuwasabha,1,Chainpur Bazaar,Winter,4 days,Trade / Cultural,"Annual event featuring local industries, food, and crafts."
Siddhakali,Siddhakali Temple Fair (real),Sankhuwasabha,1,Siddhakali Temple,Spring,2 days,Religious / Cultural,"Pilgrimage fair with rituals, songs, and local market stalls."
Mawadin,Mawadin Cultural Gathering (proposed),Taplejung,1,Village Ground,Autumn,1 day,Cultural,Traditional Limbu dance and community feast to promote local identity.
Ambung,Ambung Eco Tourism Day (proposed),Taplejung,1,Community Hall,Spring,1 day,Eco / Tourism,Awareness for eco-tourism and homestay promotion.
Dhungesaghu,Dhungesaghu Folk Heritage Festival (proposed),Taplejung,1,Village Center,Autumn,2 days,Cultural,Rai and Limbu folk dances with regional handicraft stalls.
Olangchung Gola,Olangchung Gola Border Cultural Exchange (real/proposed),Taplejung,1,Village / Border Area,Summer,3 days,Cultural / Cross-border,Nepal–Tibet trade and culture fair celebrating trans-Himalayan heritage.
Yangma,Yangma Alpine Festival (proposed),Taplejung,1,High-altitude Village,Summer,2 days,Adventure / Eco,Promoting sustainable mountain tourism and Sherpa lifestyle.
Merak,Merak Sherpa Lhosar (real/proposed),Taplejung,1,Monastery Courtyard,February,2 days,Religious / Cultural,"Tibetan Buddhist new year celebration with prayers, dance, and feasts."
Bajrangi Lake,Bajrangi Lake Religious Mela (proposed),Taplejung,1,Lake Premises,Monsoon,1 day,Religious / Eco,Pilgrimage and lake cleaning awareness with local devotees.
Hanuman Sagar,Hanuman Sagar Shivaratri Fair (proposed),Morang,1,Temple Premises,March,1 day,Religious,"Celebration with rituals, local market stalls, and cultural songs."
Chhija,Chhija Village Cultural Event (proposed),Dhankuta,1,Village Center,Autumn,1 day,Cultural,"Folk music, dance, and local cuisine exhibition."
Nup,Nup Heritage Festival (proposed),Taplejung,1,Village Ground,Autumn,1 day,Cultural,Celebration of local Limbu crafts and lifestyle.
Tapethok,Tapethok Eco Trekking Fair (proposed),Taplejung,1,Tapethok Trail,Spring,2 days,Adventure / Eco,Trekking and conservation awareness program for Makalu-Barun trekkers.
Ghunsa,Ghunsa Memorial & Lhosar Festival (real/proposed),Taplejung,1,Ghunsa Village,February,2 days,Religious / Cultural,Tribute to climbers and celebration of Sherpa culture.
Phungling,Phungling Town Mahotsav (real),Taplejung,1,Phungling Bazaar,Winter,3 days,Trade / Cultural,"District-level festival with exhibitions, stalls, and concerts."
Dokhu,Dokhu Rural Tourism Festival (proposed),Taplejung,1,Village Area,Spring,2 days,Cultural / Tourism,Promoting homestay tourism and regional handicrafts.
Sansari Danda,Sansari Danda Mela (real/proposed),Taplejung,1,Hilltop Shrine,April,1 day,Religious,Annual fair at local goddess shrine with prayers and dances.
Ghumaaune Dada,Ghumaaune Dada Nature Trek (proposed),Dhankuta,1,Hill Area,Spring,1 day,Adventure / Eco,Trekking and biodiversity awareness campaign.
Duhabi,Duhabi Trade & Cultural Fair (real),Sunsari,1,Duhabi Bazaar,Winter,4 days,Trade / Cultural,Local business and industrial exhibition with cultural performances.
Sisabanibadahara,Sisabanibadahara Folk Festival (proposed),Morang,1,Village Ground,Autumn,1 day,Cultural,Folk dance and rural lifestyle exhibition.
Dangraha,Dangraha Agricultural Fair (proposed),Sunsari,1,Market Area,Spring,2 days,Agro / Trade,Farmers’ market promoting sustainable agriculture.
Banigama,Banigama Cultural Day (proposed),Morang,1,School Ground,Autumn,1 day,Cultural,Students and locals showcase cultural performances.
Dulari,Dulari Bazar Festival (real/proposed),Morang,1,Dulari Market,Winter,3 days,Trade / Cultural,"Local fair with exhibitions, handicrafts, and food stalls."
Binaya Tole Phimraha,Binaya Tole Heritage Day (proposed),Morang,1,Community Ground,Spring,1 day,Cultural,Community-led festival preserving ethnic traditions and crafts.
Khoksi,Khoksi Local Trade Fair (proposed),Sunsari,1,Market Area,Winter,3 days,Trade / Cultural,Promoting local goods and agricultural produce with traditional music.
Lati Jhora,Lati Jhora Eco Awareness Day (proposed),Sunsari,1,Riverbank Area,Spring,1 day,Eco / Environmental,River clean-up and awareness program for wetland conservation.
Sonapur,Sonapur Agro & Handicraft Expo (real/proposed),Sunsari,1,Sonapur Bazaar,Winter,3 days,Trade / Cultural,"Regional handicraft, food, and agricultural product showcase."
